#,Groupe,Style,Pays,Info Supplémentaire,Url d'écoute,URL pochette
,Aeffect,Death Metal,UK,,https://aeffect.bandcamp.com/releases,https://f4.bcbits.com/img/a0227699537_10.jpg
,American Nightmare,Hardcore / Punk,USA,Un EP,https://www.youtube.com/watch?v=9yvfWNKMiPg,https://www.punkrocktheory.com/sites/default/files/american-nightmare-dedicated-to-the-next-world-punk-rock-theory.jpg
,Anubis Gate,Prog Metal,Danemark,,https://www.youtube.com/watch?v=h7YE0XD43ZU,https://mhf-mag.com/wp-content/uploads/2023/04/AnubisGate_A.jpeg
,Atlases,Djent / Metalcore,Finlande,,https://atlaseslfr.bandcamp.com/album/between-the-day-i,https://f4.bcbits.com/img/a2587898106_10.jpg
2,Avenged Sevenfold,Heavy Metal / Metalcore,USA,,https://www.metalorgie.com/news/167263_Avenged-Sevenfold-annonce-un-nouvel-album-apres-7-ans-d-attente-Life-Is-but-a-Dream-et-en,https://cdn.shopify.com/s/files/1/0551/1056/6043/products/e0ebv24hl1cnlmwdyt7w.jpg?v=1678913763
,Beach Fossils,Dream Pop / Alt Rock,USA,,https://beachfo.bandcamp.com/album/bunny,https://f4.bcbits.com/img/a3379049461_10.jpg
,Blåådpalt,Death Metal,Finlande,,https://bloodpalt.bandcamp.com/album/caedite-eos,https://f4.bcbits.com/img/a3951580259_10.jpg
,Body Stuff,Hardcore / Folk Rock,USA,,https://bodystuff.bandcamp.com/album/body-stuff-4,https://f4.bcbits.com/img/a1170229440_10.jpg
,Bongzilla,Sludge / Doom,USA,,https://www.metalorgie.com/news/168755_Encore-un-extrait-du-prochain-Bongzilla-avec-C-A-R-T-S-Dab-City-sort-le-2-juin,https://f4.bcbits.com/img/a2029675259_10.jpg
,Buckcherry,Hard Rock,USA,,https://www.youtube.com/watch?v=x0MmOEaJcd0,"https://m.media-amazon.com/images/I/71yYdOEwluL._UF1000,1000_QL80_.jpg"
,Buggin,Hardcore,USA,,https://www.metalorgie.com/news/168315_Buggin-continue-de-devoiler-son-Concrete-Cowboys-prevu-le-2-juin-sur-Flatspot-Records-avec-le,https://f4.bcbits.com/img/a2299759648_10.jpg
,Bully,Alt Rock,USA,,https://bullythemusic.bandcamp.com/album/lucky-for-you,https://f4.bcbits.com/img/a2183886347_10.jpg
,Burnt Skull,Industrial Metal,USA,,https://burntskull.bandcamp.com,https://f4.bcbits.com/img/a0295878526_10.jpg
,Corrozion,Prog Metal,France / Angers,,https://www.youtube.com/@corrozion/videos,https://scontent-cdg4-2.xx.fbcdn.net/v/t39.30808-6/346761896_1632752417138102_8544346733732295593_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=8bfeb9&_nc_ohc=9JMHZsONdfkAX8eNbZ4&_nc_ht=scontent-cdg4-2.xx&oh=00_AfBEL1DhG7Q9kGp3wzG4Zhtn_onuCosiVde9vtfv2H-oXg&oe=647C989C
,Cosmic Burial,Atmospheric Black Metal,Allemagne,,https://cosmicburial1.bandcamp.com/,https://f4.bcbits.com/img/a1682538432_10.jpg
,Dead Billionaires,Indie / Punk,USA,,https://www.metalorgie.com/news/168300_Dead-Billionaires-Indie-Punk-met-des-images-sur-Straight-Shooter-Disaster-Preparedness,https://f4.bcbits.com/img/a2686558349_10.jpg
